"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A719113","Dexter","1/28/2016 12:05","Transfer","Partner","Dog","Neutered Male","5 years","Boxer Mix","Brown Brindle/White"
"A699990","Chubbs","4/8/2015 18:06","Return_to_owner","","Dog","Neutered Male","4 years","Cairn Terrier Mix","Tan/White"
"A668362","Minnie","12/20/2013 12:02","Return_to_owner","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Black/Tan"
"A674577","Santiago","3/23/2014 18:43","Adoption","","Dog","Neutered Male","2 years","Dogo Argentino Mix","White"
"A674802","Franklin","3/29/2014 11:26","Return_to_owner","","Dog","Neutered Male","9 years","Dachshund Mix","Black/Brown"
"A672410","Myles","2/11/2014 18:16","Return_to_owner","","Dog","Neutered Male","5 years","Beagle Mix","Tricolor"
"A657753","Wiz","12/6/2013 16:53","Euthanasia","Aggressive","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Yellow Brindle/White"
"A663339","Abby","10/20/2013 16:37","Adoption","","Dog","Spayed Female","2 years","Pit Bull Mix","Fawn/White"
"A698694","Boss","7/6/2015 15:48","Transfer","Partner","Dog","Intact Male","5 months","Pit Bull Mix","White/Brown"
"A674233","Missy","3/22/2014 15:38","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Tan"
"A713392","Basil","11/5/2015 0:00","Transfer","Partner","Dog","Intact Male","3 months","Chihuahua Shorthair Mix","Black/White"
"A701428","Kiki","5/3/2015 16:59","Return_to_owner","","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Brown"
"A676146","Desmo","4/14/2014 17:00","Return_to_owner","","Dog","Neutered Male","5 years","Dachshund Mix","Black"
"A679259","Pablo","5/26/2014 11:22","Adoption","","Dog","Neutered Male","8 years","Miniature Schnauzer Mix","Black"
"A688223","","9/21/2014 14:15","Adoption","Offsite","Dog","Spayed Female","2 months","Labrador Retriever Mix","Black/White"
"A674530","Jackson","9/11/2014 17:03","Adoption","","Dog","Neutered Male","5 years","Pit Bull","Black"
"A718604","Watson","1/31/2016 17:22","Adoption","","Dog","Neutered Male","1 year","Pit Bull Mix","White/Brown"
"A699094","Levon","3/22/2015 18:40","Return_to_owner","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Brown/White"
"A394547","Snickerdoodl","1/25/2015 11:15","Return_to_owner","","Dog","Spayed Female","9 years","Labrador Retriever Mix","Chocolate/White"
"A662685","Lola","10/22/2015 17:18","Adoption","","Dog","Spayed Female","3 years","Pit Bull Mix","Red/White"
"A707781","Pearl","1/15/2016 14:03","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Black/White"
"A694699","Pebbles","1/9/2015 15:28","Transfer","Partner","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Black/Tan"
"A696350","Minnie","12/15/2015 17:30","Return_to_owner","","Dog","Spayed Female","1 year","Pit Bull","Brown Brindle"
"A698341","Parsley","5/16/2015 15:19","Return_to_owner","","Dog","Spayed Female","2 years","Tibetan Terrier Mix","Brown"
"A689601","Abby","11/23/2014 18:55","Adoption","Foster","Dog","Spayed Female","1 month","Miniature Pinscher Mix","Tricolor"
"A714494","Amarillo","11/1/2015 19:11","Adoption","","Dog","Neutered Male","6 months","Labrador Retriever Mix","Yellow"
"A688720","","9/26/2014 18:09","Adoption","","Dog","Spayed Female","1 year","Dachshund Mix","Tan"
"A689690","Winnie","10/22/2014 14:37","Transfer","Partner","Dog","Intact Female","6 months","Dachshund Mix","Brown/White"
"A702014","Diamond","11/14/2015 13:30","Adoption","","Dog","Spayed Female","11 months","Blue Lacy Mix","Blue/White"
"A673626","","3/3/2014 16:58","Transfer","Partner","Dog","Neutered Male","3 months","Rat Terrier Mix","Tricolor"
"A652097","Minnie","2/10/2014 12:34","Return_to_owner","","Dog","Spayed Female","2 years","Dachshund Longhair","Brown"
"A685180","Neville","9/27/2014 12:25","Transfer","Partner","Dog","Neutered Male","2 years","Pit Bull Mix","Red"
"A707442","Conrad","8/15/2015 11:32","Adoption","","Dog","Neutered Male","2 years","Pit Bull Mix","Brown/White"
"A685452","","8/11/2014 15:17","Transfer","Partner","Dog","Intact Female","4 months","Dachshund Mix","Red"
"A705924","Nero","7/29/2015 15:41","Transfer","Partner","Dog","Neutered Male","7 years","Chihuahua Shorthair Mix","Brown/White"
"A716760","Dasher","12/6/2015 17:08","Adoption","","Dog","Neutered Male","6 months","Border Collie Mix","Black/White"
"A709048","Libby","8/8/2015 17:58","Adoption","","Dog","Intact Female","5 months","Labrador Retriever Mix","Black/White"
"A719048","Gracie","1/13/2016 11:43","Return_to_owner","","Dog","Spayed Female","8 years","Maltese","White"
"A720668","","2/15/2016 18:30","Return_to_owner","","Dog","Spayed Female","5 months","Labrador Retriever Mix","White"
"A708769","Keyla","8/1/2015 11:54","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","White/Tan"
"A681462","Samson","8/10/2014 16:25","Adoption","","Dog","Neutered Male","2 years","Labrador Retriever Mix","Black/Brown"
"A701153","","6/25/2015 9:31","Adoption","Foster","Dog","Neutered Male","2 months","Dachshund Mix","Tricolor"
"A700707","Sallie","4/20/2015 14:41","Adoption","","Dog","Spayed Female","1 month","Plott Hound Mix","Black/Brown Brindle"
"A702563","Klo Dog","5/25/2015 11:26","Return_to_owner","","Dog","Spayed Female","7 years","Chihuahua Shorthair Mix","White/Tan"
"A715729","Milo","11/9/2015 13:24","Return_to_owner","","Dog","Neutered Male","4 years","Siberian Husky","White/Gray"
"A716575","Scarlet","12/22/2015 0:00","Transfer","Partner","Dog","Spayed Female","2 years","Australian Cattle Dog Mix","Tan/White"
"A714462","Pebbles","11/14/2015 13:26","Return_to_owner","","Dog","Spayed Female","1 year","Pointer Mix","White/Black"
"A717429","Cairo","12/9/2015 17:05","Return_to_owner","","Dog","Neutered Male","2 years","Pit Bull Mix","Brown Brindle/White"
"A701999","Luna","5/12/2015 17:39","Adoption","","Dog","Spayed Female","2 years","Yorkshire Terrier Mix","Tan/Silver"
"A698066","Diva","3/7/2015 12:50","Transfer","Partner","Dog","Spayed Female","4 years","German Shepherd Mix","White"
"A699715","Ashley","5/13/2015 11:51","Transfer","Partner","Dog","Spayed Female","6 years","Catahoula Mix","White/Tan"
"A702246","","5/15/2015 17:47","Adoption","","Dog","Spayed Female","9 months","Miniature Poodle Mix","Black/White"
"A711918","Jaqueline","9/19/2015 14:33","Adoption","","Dog","Spayed Female","3 years","Jack Russell Terrier Mix","Red"
"A677577","Roxie","5/1/2014 16:12","Adoption","","Dog","Spayed Female","10 months","Queensland Heeler Mix","Red Tick/Black"
"A713754","Harper","10/27/2015 16:44","Adoption","","Dog","Neutered Male","1 year","Catahoula Mix","Blue Merle"
"A703631","Hanley","7/3/2015 18:50","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Black/White"
"A676209","Boomer","7/24/2014 15:02","Adoption","Foster","Dog","Neutered Male","3 months","Labrador Retriever Mix","Yellow"
"A667508","Brownie","11/19/2013 18:30","Return_to_owner","","Dog","Intact Male","6 years","Chihuahua Shorthair Mix","Chocolate/Tan"
"A676056","Swisha","4/10/2014 10:13","Return_to_owner","","Dog","Neutered Male","2 years","American Pit Bull Terrier Mix","Tan/White"
"A667963","","11/30/2013 18:48","Adoption","","Dog","Spayed Female","5 years","Dachshund Longhair Mix","Tan/White"
"A672065","Dutchess","4/8/2014 12:50","Adoption","","Dog","Spayed Female","2 years","German Shepherd Mix","Sable"
"A688852","Buddy","10/18/2014 18:48","Adoption","","Dog","Neutered Male","6 years","Labrador Retriever Mix","Black/White"
"A670949","Cassie","2/1/2014 11:13","Return_to_owner","","Dog","Spayed Female","8 months","Doberman Pinsch Mix","Tricolor"
"A690480","","10/22/2014 17:46","Transfer","Partner","Dog","Intact Female","3 weeks","Pointer Mix","Chocolate/White"
"A691636","Dali","11/13/2014 16:07","Adoption","","Dog","Neutered Male","5 months","Dachshund Mix","White/Brown"
"A678482","","5/14/2014 19:15","Adoption","","Dog","Neutered Male","2 years","Miniature Poodle Mix","Black/White"
"A687785","Bella","12/30/2014 9:38","Adoption","Foster","Dog","Spayed Female","2 years","Whippet Mix","Brown Brindle/White"
"A716839","Dino","11/27/2015 14:06","Return_to_owner","","Dog","Intact Male","2 years","Australian Shepherd Mix","Brown Merle/White"
"A718547","","1/11/2016 14:23","Adoption","","Dog","Spayed Female","2 years","Labrador Retriever Mix","Tan/White"
"A694408","Emma","5/28/2015 13:14","Transfer","Partner","Dog","Spayed Female","1 year","Pit Bull Mix","Brown Tiger/White"
"A675549","Marco","4/8/2014 15:29","Transfer","Partner","Dog","Neutered Male","4 years","Chihuahua Shorthair Mix","White/Brown"
"A719876","Oreo","2/2/2016 15:58","Transfer","Partner","Dog","Spayed Female","1 year","Rat Terrier Mix","White/Black"
"A676626","Pia","5/30/2014 16:54","Adoption","Foster","Dog","Spayed Female","2 months","English Pointer Mix","Brown/White"
"A666478","Bleu","11/4/2013 17:51","Adoption","","Dog","Spayed Female","1 year","Miniature Schnauzer Mix","Black/White"
"A683507","","7/15/2014 17:26","Adoption","","Dog","Spayed Female","3 years","Cairn Terrier Mix","Buff"
"A487470","Midnight","1/20/2014 18:40","Euthanasia","Aggressive","Dog","Neutered Male","9 years","Labrador Retriever Mix","Black"
"A668260","","12/2/2013 14:10","Transfer","Partner","Dog","Spayed Female","5 years","Great Dane","Black/White"
"A716964","Rello","11/29/2015 18:11","Return_to_owner","","Dog","Intact Male","2 years","Chihuahua Shorthair Mix","Black/White"
"A701029","Bode","5/1/2015 11:04","Return_to_owner","","Dog","Neutered Male","2 years","Chesa Bay Retr","Brown"
"A668506","Jake","11/3/2015 16:40","Return_to_owner","","Dog","Neutered Male","7 years","German Shepherd","Brown/Black"
"A701898","Anita","5/10/2015 18:38","Return_to_owner","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Tan/Black"
"A691605","Daisy","11/8/2014 14:41","Return_to_owner","","Dog","Spayed Female","6 years","Plott Hound Mix","Brown Brindle"
"A705111","Kiki","6/24/2015 15:25","Adoption","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Brown/Black"
"A715741","Simba","11/19/2015 18:45","Adoption","","Dog","Neutered Male","3 years","Chow Chow Mix","Red"
"A668122","","12/1/2013 17:58","Adoption","","Dog","Spayed Female","7 years","English Pointer","Liver/White"
"A664842","June","11/9/2013 19:21","Return_to_owner","","Dog","Spayed Female","2 years","Pit Bull Mix","Brown/White"
"A709067","Earlene","8/5/2015 0:00","Return_to_owner","","Dog","Intact Female","5 months","Boxer Mix","Black/White"
"A608918","Vader","6/2/2015 11:56","Transfer","Partner","Dog","Neutered Male","4 years","Basset Hound Mix","Black/White"
"A651596","Brownie","3/6/2014 17:13","Return_to_owner","","Dog","Neutered Male","2 years","Labrador Retriever Mix","Buff"
"A720190","Little Missy","2/7/2016 0:00","Transfer","Partner","Dog","Spayed Female","7 years","Airedale Terrier Mix","Tricolor"
"A676609","Buddy","7/6/2014 12:46","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Brown"
"A693272","Kodiak","1/31/2015 13:33","Adoption","","Dog","Neutered Male","1 month","Beagle Mix","Black/Brown"
"A672758","Daisy","7/16/2014 13:48","Transfer","Partner","Dog","Spayed Female","4 years","Chihuahua Shorthair Mix","Tan/White"
"A658690","Priscilla","10/19/2013 12:58","Adoption","","Dog","Spayed Female","1 year","Pit Bull Mix","Black/White"
"A708390","Stella","8/2/2015 18:49","Adoption","","Dog","Spayed Female","2 years","Flat Coat Retriever Mix","Black/White"
"A703383","Dharma","5/28/2015 15:25","Transfer","Partner","Dog","Spayed Female","10 years","Cocker Spaniel","Buff"
"A699816","Pebbles","4/11/2015 18:01","Adoption","","Dog","Spayed Female","10 years","Chihuahua Shorthair Mix","Tan"
"A625690","Rainey","7/21/2014 11:09","Return_to_owner","","Dog","Spayed Female","7 years","Rat Terrier Mix","White/Black"
"A686406","","8/25/2014 17:12","Adoption","","Dog","Neutered Male","1 year","Border Terrier Mix","Tan/Black"
"A710318","Tank","9/17/2015 13:48","Transfer","Partner","Dog","Neutered Male","5 years","Pit Bull Mix","Brown Brindle/White"
"A698972","Kiki","3/23/2015 17:50","Return_to_owner","","Dog","Spayed Female","6 years","Chihuahua Shorthair Mix","Black/Gray"
"A683309","","7/17/2014 18:06","Euthanasia","Behavior","Dog","Spayed Female","7 years","Pit Bull Mix","Tan/White"
"A640316","Kato","10/2/2013 17:43","Adoption","","Dog","Neutered Male","1 year","Chihuahua Longhair Mix","Black"
"A682760","Jasper","7/10/2014 12:48","Adoption","","Dog","Neutered Male","1 year","Jack Russell Terrier Mix","White/Brown"
"A588218","Roger","12/3/2014 14:24","Return_to_owner","","Dog","Neutered Male","5 years","German Shepherd","Black/Brown"
"A669795","Roxi","8/11/2014 11:12","Return_to_owner","","Dog","Spayed Female","2 years","Rottweiler Mix","Black/Tan"
"A674448","Hedwig","3/18/2014 17:04","Adoption","","Dog","Neutered Male","10 months","Siberian Husky Mix","White/Cream"
"A672467","Apollo","2/14/2014 18:59","Adoption","","Dog","Neutered Male","9 months","Cardigan Welsh Corgi Mix","Fawn/White"
"A720860","","2/20/2016 21:16","Adoption","","Dog","Spayed Female","8 months","Chihuahua Shorthair Mix","Chocolate/White"
"A701337","","4/30/2015 14:43","Transfer","Partner","Dog","Intact Male","1 year","Cairn Terrier Mix","Cream"
"A699819","Coco","4/6/2015 15:37","Return_to_owner","","Dog","Intact Male","14 years","Chihuahua Shorthair Mix","Chocolate/White"
"A674638","Sam","3/16/2014 10:48","Return_to_owner","","Dog","Neutered Male","7 years","Labrador Retriever Mix","Chocolate"
"A718743","Newton","1/10/2016 11:36","Adoption","","Dog","Neutered Male","2 years","Shih Tzu","Gray/White"
"A714820","Lizzie","11/5/2015 0:00","Transfer","Partner","Dog","Spayed Female","6 months","Plott Hound Mix","Brown Brindle"
"A667613","Orion","1/13/2014 15:18","Adoption","","Dog","Neutered Male","11 months","Australian Shepherd Mix","Tan/White"
"A696059","Chewy","2/5/2015 14:28","Adoption","","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Tan/White"
"A676494","Jimmy","4/27/2014 15:11","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Black/White"
"A599155","Machete","3/28/2015 19:25","Euthanasia","Suffering","Dog","Neutered Male","4 years","Chihuahua Shorthair Mix","White/Brown"
"A691345","Jelly Bean","11/9/2014 14:47","Adoption","","Dog","Spayed Female","2 months","Australian Cattle Dog Mix","Brown/White"
"A674659","","3/21/2014 17:10","Euthanasia","Aggressive","Dog","Intact Male","2 years","Labrador Retriever Mix","Tan/Black"
"A683609","Rascal","7/17/2014 17:50","Return_to_owner","","Dog","Neutered Male","6 years","Dachshund Mix","Brown"
"A695710","Layla","8/2/2015 13:17","Transfer","Partner","Dog","Spayed Female","11 months","Boxer Mix","Brown Brindle/White"
"A713063","","10/8/2015 16:26","Transfer","Partner","Dog","Spayed Female","1 year","Labrador Retriever Mix","Tan/White"
"A667520","","11/23/2013 16:00","Transfer","Partner","Dog","Neutered Male","4 years","Shih Tzu Mix","Apricot/White"
"A716488","","11/23/2015 0:00","Transfer","Partner","Dog","Neutered Male","2 years","Pit Bull Mix","Red"
"A667537","","11/25/2013 17:07","Adoption","","Dog","Spayed Female","2 months","Australian Cattle Dog Mix","Red Merle/Black"
"A684664","Leo","8/10/2014 17:25","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Brown/White"
"A691531","","11/7/2014 17:15","Transfer","Partner","Dog","Intact Male","2 months","Australian Cattle Dog Mix","White/Brown"
"A703630","Sheldon","6/30/2015 7:01","Adoption","Foster","Dog","Neutered Male","4 years","German Shepherd Mix","Brown"
"A696247","Jillian","11/22/2015 13:47","Adoption","","Dog","Spayed Female","2 years","Pointer Mix","Chocolate/White"
"A678185","","5/9/2014 19:30","Transfer","Partner","Dog","Spayed Female","2 years","Miniature Poodle Mix","Black/Gray"
"A687055","Lizzie","9/1/2014 10:39","Return_to_owner","","Dog","Spayed Female","10 years","Collie Smooth Mix","Sable"
"A696819","Captain","2/21/2015 17:30","Adoption","","Dog","Neutered Male","6 months","Cocker Spaniel Mix","Sable"
"A671201","Pablito","1/25/2014 18:34","Return_to_owner","","Dog","Neutered Male","8 years","Chihuahua Shorthair Mix","Tricolor"
"A715573","","11/12/2015 12:36","Adoption","","Dog","Neutered Male","6 months","Labrador Retriever Mix","Buff"
"A669510","Kimchi","1/1/2014 18:45","Adoption","","Dog","Spayed Female","1 year","Rottweiler Mix","Black/Tan"
"A697892","Bella","3/16/2015 17:38","Adoption","Foster","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Brown/Black"
"A678958","Ares","5/19/2014 18:05","Adoption","","Dog","Neutered Male","2 months","Boxer Mix","Tricolor"
"A671079","","1/25/2014 18:09","Adoption","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Tan"
"A693999","","12/23/2014 14:58","Transfer","Partner","Dog","Spayed Female","4 years","Rat Terrier Mix","Black/White"
"A691614","Challino","11/12/2014 18:27","Adoption","","Dog","Neutered Male","4 months","German Shepherd Mix","Red/White"
"A703781","Romeo","5/30/2015 15:30","Transfer","Partner","Dog","Intact Male","6 years","Dachshund","Blue Merle/White"
"A668803","Dumpling","1/11/2014 17:42","Adoption","Foster","Dog","Spayed Female","2 months","Border Collie Mix","Black/White"
"A677885","Lil' Mama","5/12/2014 14:05","Return_to_owner","","Dog","Intact Female","2 years","Pit Bull Mix","Fawn"
"A675622","","4/4/2014 15:30","Adoption","","Dog","Neutered Male","4 months","Collie Smooth Mix","Tricolor"
"A686319","Jack","6/14/2015 12:01","Adoption","","Dog","Neutered Male","5 years","Plott Hound Mix","Brown Brindle"
"A671251","Buffy","1/23/2014 14:06","Return_to_owner","","Dog","Spayed Female","2 years","Pit Bull Mix","Fawn/White"
"A715812","","11/15/2015 18:01","Adoption","","Dog","Spayed Female","10 months","Chihuahua Shorthair Mix","Tan/White"
"A681003","","6/17/2014 13:27","Transfer","Partner","Dog","Neutered Male","2 years","Pointer Mix","Black/White"
"A715346","Molina","11/9/2015 17:02","Adoption","","Dog","Spayed Female","10 months","Anatol Shepherd Mix","White"
"A679956","Simon","6/8/2014 16:49","Return_to_owner","","Dog","Neutered Male","1 year","Anatol Shepherd","Fawn/Black"
"A695950","Laurel","2/13/2015 14:49","Adoption","Foster","Dog","Spayed Female","2 years","Pit Bull Mix","Brown/White"
"A694278","Mya","1/2/2015 16:50","Transfer","Partner","Dog","Spayed Female","7 years","Great Dane","Black/White"
"A686918","Aimee","9/2/2014 14:51","Transfer","Partner","Dog","Intact Female","3 years","Australian Cattle Dog Mix","Tricolor"
"A711807","Lola","10/23/2015 18:07","Adoption","","Dog","Spayed Female","2 years","Chinese Sharpei Mix","Red Tick/White"
"A677157","Sadie","4/22/2014 16:02","Return_to_owner","","Dog","Intact Female","12 years","Labrador Retriever Mix","Yellow"
"A697921","Pi","3/16/2015 12:10","Adoption","","Dog","Spayed Female","1 year","Flat Coat Retriever Mix","Black"
"A686691","","8/29/2014 16:56","Transfer","Partner","Dog","Neutered Male","3 years","Labrador Retriever Mix","Yellow"
"A698117","","3/6/2015 9:54","Transfer","Partner","Dog","Unknown","6 days","Labrador Retriever Mix","White"
"A656110","Clover","11/22/2013 17:54","Return_to_owner","","Dog","Spayed Female","9 months","Rat Terrier Mix","Tricolor"
"A678099","Spartacus","6/10/2015 17:23","Euthanasia","Aggressive","Dog","Neutered Male","2 years","Akita Mix","Tan/White"
"A717989","Leroy","12/28/2015 17:33","Return_to_owner","","Dog","Neutered Male","7 years","American Bulldog Mix","White"
"A673784","Severus","3/10/2014 16:24","Transfer","Partner","Dog","Neutered Male","4 months","Labrador Retriever Mix","Blue"
"A671889","Jezebel","2/27/2014 16:04","Return_to_owner","","Dog","Spayed Female","5 years","Chihuahua Shorthair Mix","Tan"
"A697627","Lucy","3/1/2015 16:13","Adoption","","Dog","Spayed Female","2 years","Pointer Mix","Chocolate/White"
"A685945","Cody","9/20/2014 15:37","Adoption","","Dog","Neutered Male","5 years","Chihuahua Shorthair Mix","Tan/White"
"A715735","Nico","11/13/2015 12:59","Transfer","Partner","Dog","Intact Male","1 year","Labrador Retriever","Buff/Tan"
"A672263","Daisy","2/13/2014 17:05","Transfer","Partner","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","White/Tan"
"A672744","Oso","4/17/2014 17:09","Euthanasia","Aggressive","Dog","Intact Male","3 years","Rottweiler Mix","Black/Tan"
"A696609","Lizzy","7/11/2015 13:49","Transfer","Partner","Dog","Spayed Female","2 years","Labrador Retriever","Black"
"A714481","Bobby","11/8/2015 19:10","Adoption","","Dog","Neutered Male","1 year","Boxer Mix","Brown/White"
"A689596","","10/10/2014 14:05","Adoption","","Dog","Neutered Male","2 years","Jack Russell Terrier Mix","White/Tan"
"A714546","Blaze","10/26/2015 12:43","Return_to_owner","","Dog","Intact Male","9 months","Pit Bull Mix","Red/White"
